epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.194265184268145,0.07477451624721226,4.914064645767212,0.07700937888958467,4.989214810458097,0.07352372851241118,0.0
2,142,4.689878517473248,0.10685725973554044,4.32229208946228,0.10485072041153724,4.426381587982178,0.10421609428066489,0.00046948356807511736
3,213,4.2414939000572955,0.1481199386563528,3.933680295944214,0.14367496483311396,4.043114792216908,0.13976013652530928,0.0009389671361502347
4,284,3.843063048913445,0.18057686760749245,3.6667104959487915,0.1690521382693057,3.7770946242592554,0.16165079325841358,0.001
5,355,3.4973223914562817,0.22682317182093834,3.412687301635742,0.2060698898140177,3.541144912893122,0.1902773633067631,0.0009949316837804985
6,426,3.219618575673708,0.2702812443748791,3.2619869709014893,0.23139390021839867,3.3935183611783115,0.21275128929102366,0.0009767275214425954
7,497,2.9842859422656853,0.316190316093388,3.1396156549453735,0.24737471694177648,3.2808184840462427,0.23317941953247456,0.0009698764640825614
8,568,2.786040578089969,0.37005637831462646,3.075764536857605,0.2642473846359867,3.2025899670340796,0.2445235516195968,0.0009457619741652951
9,639,2.6138291459687997,0.4281432128116369,3.0296859741210938,0.2775658998662441,3.147067004984075,0.256526553917185,0.0009028648202601651
10,710,2.4589061737060547,0.4863984576479754,2.997452139854431,0.28902798268860946,3.124278046868064,0.2696523315864876,0.000849185567198193
11,781,2.3250337855916627,0.5477951068297169,3.0195642709732056,0.31055230248726273,3.1270394758744673,0.2765349604295244,0.0008432776981154326
12,852,2.209928831584017,0.6138243106344731,2.9927271604537964,0.30538670544297897,3.1172892180356113,0.2840923878489037,0.0007861626484607278
13,923,2.1055416120609767,0.6856191193055695,2.9909809827804565,0.31152984209068396,3.1145328174937856,0.28748323210859744,0.0007154848780910595
14,994,2.0087490669438535,0.7398370067984109,2.989944100379944,0.32070212549068766,3.1246622909199107,0.2857739035172313,0.0006983418431365589
15,1065,1.9315300726554763,0.7976025823128614,3.0085182189941406,0.3143396794177843,3.1300583535974678,0.29415125785922547,0.0006390461958422144
16,1136,1.8568182125897474,0.8466295787023196,3.0237276554107666,0.3118477352595711,3.1495849869467993,0.29537205535858707,0.0005588949156072729
17,1207,1.794332529457522,0.8951315039821135,3.023874878883362,0.31384636899112756,3.14982329715382,0.2983674842761635,0.00047717883711306504
18,1278,1.739137140797897,0.9246352001351995,3.042267084121704,0.3122816758435471,3.1783743771639736,0.29863934004973797,0.0004714566579592174
19,1349,1.6916304037604533,0.9490791655755576,3.0447041988372803,0.326220844162696,3.166870810768821,0.3046811102210309,0.0003960876917095215
