epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.2495663266786385,0.08977539760815258,4.936025142669678,0.09021006928664367,5.006966937672008,0.08998083162258176,0.0
2,142,4.693538269526522,0.11383123175599656,4.343242168426514,0.11516558152591008,4.425394058227539,0.10983488805679724,0.00046948356807511736
3,213,4.20760733980528,0.1474977458962284,3.903496742248535,0.14675430005127166,3.9999264803799717,0.14081294897137445,0.0009389671361502347
4,284,3.782640212018725,0.19356983404065864,3.5278924703598022,0.1815331633013397,3.64956656369296,0.1775203866281718,0.001
5,355,3.43329609615702,0.24207591128090059,3.3046185970306396,0.2134984527491644,3.447869127446955,0.20356382541852186,0.0009949316837804985
6,426,3.15228490090706,0.28809712389627906,3.1638243198394775,0.23988343771263718,3.312989733435891,0.22281444028430408,0.0009767275214425954
7,497,2.9202450597789924,0.3351344708155796,3.0530107021331787,0.25549823208689276,3.2101934389634565,0.24345622860683605,0.0009698764640825614
8,568,2.73195829189999,0.38707533201637834,2.9884456396102905,0.2763096914057843,3.1299972967668013,0.25512315794627427,0.0009457619741652951
9,639,2.574058126395857,0.4418860481757856,2.948031783103943,0.2983257640363355,3.0931249748576772,0.26551331315871834,0.0009028648202601651
10,710,2.4345099523033893,0.49822111595315205,2.9449087381362915,0.29649719358949167,3.0745949094945733,0.27681014508128904,0.000849185567198193
11,781,2.3109577272979305,0.5517263604359997,2.931881070137024,0.3151971460113763,3.0624754428863525,0.2852610993050771,0.0008432776981154326
12,852,2.2040828315305037,0.6127333351993268,2.902805805206299,0.3255896815383592,3.041237462650646,0.2889100582971496,0.0007861626484607278
13,923,2.1111735055144405,0.6723113140978597,2.907997727394104,0.320572268335913,3.043646205555309,0.29611134374866505,0.0007154848780910595
14,994,2.0221337415802645,0.7324687759363777,2.9179115295410156,0.33522362114714505,3.0486535375768486,0.2996092518729342,0.0006983418431365589
15,1065,1.9556540620159095,0.7759988839907812,2.927424430847168,0.32840893916411934,3.057660948146473,0.3038291189712307,0.0006390461958422144
16,1136,1.8901492575524559,0.8279146276602607,2.919135570526123,0.33259974592330266,3.066249045458707,0.30502870527483733,0.0005588949156072729
17,1207,1.828902627380801,0.8620274246700917,2.929964542388916,0.328109054565239,3.0643856525421143,0.3101419805922405,0.00047717883711306504
