epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,282,5.113924766263218,0.06042459029497538,3.903073310852051,0.06163832041370377,3.982813460486276,0.05933422930224419,0.0002364066193853428
2,564,3.7258516262609063,0.08738696621351642,3.3490922451019287,0.09003080525820267,3.45115525949569,0.08172971770906336,0.000591016548463357
3,846,3.1854449282301234,0.12248285647608495,2.8996082544326782,0.11640773845039037,3.0148252305530368,0.11160632051991586,0.0009456264775413712
4,1128,2.7470100103540624,0.1636771452945174,2.5476368069648743,0.14984818294505658,2.7055714357466925,0.13644631682744662,0.000997259376436328
5,1410,2.369814175240537,0.20879380261368236,2.374771535396576,0.17329418317578796,2.4900188786642894,0.15902619451132224,0.000987007067547607
6,1692,2.082177882921611,0.24805626198418168,2.212669014930725,0.1887684507499688,2.3924673284803117,0.17220322119822662,0.0009760218030049528
7,1974,1.8437432388887338,0.302550887316898,2.1184332817792892,0.20551649811095601,2.279788987977164,0.18810977307806953,0.0009535051192884186
8,2256,1.6442234537280198,0.346349022116871,2.08052134513855,0.21491573536810243,2.2226489839099703,0.19731295744040123,0.0009240563322700838
9,2538,1.4740724829917258,0.4059566647512598,2.006703197956085,0.2338075006309737,2.1630875070889792,0.2050527764207202,0.0008881260815233917
10,2820,1.3290863092064011,0.4499053551212647,2.012923240661621,0.23786410588251336,2.141520681835356,0.20763823233559023,0.0008462641891126645
11,3102,1.1874927254856056,0.4952357543627393,2.0378387570381165,0.23696803636216413,2.1582784425644648,0.2223509031886949,0.0007991112459501108
12,3384,1.0550520314392469,0.5550464940861033,2.005202427506447,0.24898988254623441,2.1421863465082076,0.22639688625242746,0.0007650897960745056
13,3666,0.9465337158940362,0.606537999346345,2.0434497594833374,0.25118561754348406,2.161803804692768,0.23435222678556658,0.0007107569138329534
14,3948,0.8423047668122231,0.6705349014738714,2.0323446691036224,0.26427629756648785,2.1487665006092618,0.23275153342243726,0.0006532065786652681
15,4230,0.739848664889099,0.7174118723874648,2.072504997253418,0.25650329569339286,2.188456955410185,0.23964861944004576,0.000593319453617956
16,4512,0.6480689067789849,0.7571928281210041,2.1128208190202713,0.25880214486175374,2.2176693904967535,0.24127317460805348,0.0005320119604257827
17,4794,0.5668951555135402,0.8010217654590739,2.1034497916698456,0.2736794390206942,2.2525690283094133,0.2456106652407128,0.0004908140297799739
