epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.28629338573402,0.092871376097361,4.917561769485474,0.09391406815187697,4.984006361527876,0.09309315964701081,0.0
2,142,4.687882739053646,0.09858031387534223,4.371114015579224,0.10247341270756287,4.454670559276234,0.09578761023133123,0.00046948356807511736
3,213,4.243944826260419,0.1473923948600923,3.945902109146118,0.14174130820394495,4.050219947641546,0.13985727056202538,0.0009389671361502347
4,284,3.850261718454495,0.17975208163412998,3.6338436603546143,0.16833893085645404,3.753687620162964,0.16397151441219984,0.001
5,355,3.5042179839711793,0.22513218559119072,3.4183512926101685,0.19393901793255924,3.532257253473455,0.19268307576691351,0.0009949316837804985
6,426,3.2268074431889495,0.26597934345648244,3.2491244077682495,0.22723869427099658,3.3724423105066474,0.21032266553898232,0.0009767275214425954
7,497,2.9791944295587673,0.3206025768421819,3.1467647552490234,0.24898312668938682,3.2749570283022793,0.2284079614586807,0.0009698764640825614
8,568,2.7807644387366066,0.3695376505632154,3.064557909965515,0.2652852127152807,3.1944874850186435,0.24797783699692355,0.0009457619741652951
9,639,2.6083998848015155,0.4279664350791148,3.031766176223755,0.28718952557140814,3.1548963243311103,0.2613115373343405,0.0009028648202601651
10,710,2.456944693981762,0.48864031436814664,2.9873024225234985,0.2900916897954332,3.119876341386275,0.26034775534866333,0.000849185567198193
11,781,2.322091619733354,0.559295233437973,2.9829025268554688,0.2991993772958226,3.105444214560769,0.28002518932147885,0.0008432776981154326
12,852,2.2056410279072507,0.6201947089987256,2.9518158435821533,0.31549840546321717,3.0879526788538154,0.2790964174365797,0.0007861626484607278
13,923,2.105596858011165,0.6793888231186339,2.971487522125244,0.3186394858856435,3.0985656434839424,0.28082755040439716,0.0007154848780910595
14,994,2.0144442051229343,0.7473087561709492,2.9842110872268677,0.31658820960257544,3.0998956723646685,0.2930484189621835,0.0006983418431365589
15,1065,1.9298945833259904,0.7997255140433497,2.989957571029663,0.31588926172036075,3.109089743007313,0.297782881642176,0.0006390461958422144
16,1136,1.857623258107145,0.8434289203456086,3.0251604318618774,0.32567536338395286,3.1403097456151787,0.299022143059585,0.0005588949156072729
17,1207,1.796453276150663,0.8889745690731095,3.0152233839035034,0.3211481632509147,3.1442659984935415,0.3021129746546498,0.00047717883711306504
