epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.249614493947633,0.08111304287626604,4.916832685470581,0.083277351166261,4.991976868022572,0.08098086878632726,0.0
2,142,4.7208034085555814,0.11602190511557235,4.3679797649383545,0.11282138144648415,4.4492551196705215,0.11312806134748908,0.00046948356807511736
3,213,4.288366908758459,0.14722645211424543,3.9534496068954468,0.14708776859073988,4.06568414514715,0.13979515207382812,0.0009389671361502347
4,284,3.8735577825089575,0.1828873123372364,3.638656497001648,0.17867897769729243,3.7590938047929243,0.16706782377267457,0.001
5,355,3.522794438080049,0.22288280970884253,3.370612621307373,0.21226550186646526,3.511710687117143,0.19614629053471683,0.0009949316837804985
6,426,3.2387250242098955,0.26665779495373043,3.204212784767151,0.23588815691705017,3.3551412495699795,0.2171356463898405,0.0009767275214425954
7,497,3.001252503462241,0.31988637395803776,3.103132486343384,0.26060506447401793,3.228911031376232,0.2399334086615984,0.0009698764640825614
8,568,2.797326494270647,0.3670975344498811,3.0081063508987427,0.2781002537242686,3.1545423811132256,0.25250549305373515,0.0009457619741652951
9,639,2.628449923555616,0.42651314933552503,2.9594669342041016,0.29786091282138366,3.111217910593206,0.27256076438244353,0.0009028648202601651
10,710,2.481074588399538,0.485220531768713,2.8966134786605835,0.3217197774304601,3.043009541251443,0.2822432094809977,0.000849185567198193
11,781,2.3516792680176213,0.537926648376425,2.911636471748352,0.309662251322782,3.0368721701882104,0.287923248561692,0.0008432776981154326
12,852,2.238939490116818,0.5953862974065729,2.892587661743164,0.3121693974273615,3.029755809090354,0.291757348190141,0.0007861626484607278
13,923,2.136667144130653,0.659440448639342,2.8887970447540283,0.3301270278256838,3.0168464183807373,0.3008218293109749,0.0007154848780910595
14,994,2.0465727087477563,0.7068384543282182,2.8959962129592896,0.33109657394008596,3.0218154083598745,0.30560003848819417,0.0006983418431365589
15,1065,1.9659673949362526,0.76483907053351,2.8749406337738037,0.3319230729879388,3.0263285636901855,0.3106829289481307,0.0006390461958422144
16,1136,1.9019913337600063,0.8136483053954522,2.8791691064834595,0.3367100416671514,3.0273050394925205,0.3110864247139472,0.0005588949156072729
17,1207,1.8364260498906526,0.8572031228282995,2.906036138534546,0.33380037163933596,3.0421285846016626,0.3126875125014965,0.00047717883711306504
18,1278,1.7762467542164762,0.8937950019315313,2.907421350479126,0.3361864267466834,3.047341996973211,0.3142954703744057,0.0004714566579592174
19,1349,1.729055732068881,0.9217444765161751,2.9199025630950928,0.3369518409771284,3.0602061315016313,0.3152654518642425,0.0003960876917095215
20,1420,1.685673157933732,0.9467268150033514,2.934164881706238,0.33418789268920995,3.05838925188238,0.3176923001173834,0.0003177944645247102
