epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.268165225714025,0.07062741618682632,4.9409074783325195,0.07137046967283103,5.0299716862765225,0.07068194920885679,0.0
2,142,4.73672019931632,0.12143212234799589,4.387897253036499,0.12389998141933893,4.47142709385265,0.1197790502074962,0.00046948356807511736
3,213,4.2959714473133355,0.14569442223592802,4.009445905685425,0.14462636477761645,4.1126625754616475,0.14108146015077108,0.0009389671361502347
4,284,3.929111400120695,0.17396369817784332,3.6898703575134277,0.1693256259739629,3.806634642861106,0.16142793137020245,0.001
5,355,3.601054225169437,0.21274125023908005,3.4506345987319946,0.19813465619357737,3.5736826116388496,0.1873851459694213,0.0009949316837804985
6,426,3.3308804606048152,0.24784739595730815,3.2829419374465942,0.22254812368806948,3.4262796098535713,0.20877134716120765,0.0009767275214425954
7,497,3.1113734077399884,0.2882530656341147,3.1410850286483765,0.2457682826063366,3.2926704666831275,0.22529325325730082,0.0009698764640825614
8,568,2.9260034292516575,0.33477391179902904,3.0481724739074707,0.2726820027521237,3.2013558691198174,0.2493899415158652,0.0009457619741652951
9,639,2.7573624328828195,0.36626333306644915,3.036673665046692,0.27222294337005903,3.1574028838764536,0.258126584725686,0.0009028648202601651
10,710,2.6240764537327728,0.4110709490045089,2.9862653017044067,0.28414835132027644,3.121049079028043,0.2671804086996676,0.000849185567198193
11,781,2.501289189701349,0.46570240943396823,2.9270236492156982,0.30334129055903986,3.0603913393887607,0.28968950124388015,0.0008432776981154326
12,852,2.3931851454184088,0.5106561671143882,2.9025667905807495,0.32565108882094623,3.0458332625302402,0.28747210877742824,0.0007861626484607278
13,923,2.3055735339581127,0.5522795946207324,2.8821617364883423,0.3232194241378517,3.019542629068548,0.291059684365846,0.0007154848780910595
14,994,2.2176801352433757,0.5898399366813584,2.8823297023773193,0.3337151132183006,3.0127294713800605,0.30017067619339866,0.0006983418431365589
15,1065,2.140387770155786,0.6345303649695316,2.8655694723129272,0.34007403606038605,3.003407738425515,0.3046609163929736,0.0006390461958422144
16,1136,2.066930210086661,0.6818135768827875,2.8598610162734985,0.3324672684621338,3.001033306121826,0.3075182447796636,0.0005588949156072729
17,1207,2.0047165172200807,0.7101924465793965,2.863468885421753,0.3352048612771611,2.9985567222942007,0.31106084756291147,0.00047717883711306504
18,1278,1.9506468504247532,0.7477665093620328,2.880155324935913,0.34178604097227616,3.0046343586661597,0.31442803559188887,0.0004714566579592174
19,1349,1.8978669744142345,0.7808833053619628,2.8930625915527344,0.34678916575786256,3.005509679967707,0.3184172265747279,0.0003960876917095215
20,1420,1.8520866414191017,0.8066386841889388,2.888548493385315,0.33438685323033845,3.0078707825053823,0.3198076178526858,0.0003177944645247102
21,1491,1.8126919420672134,0.8350019692489937,2.89081609249115,0.34650111200367484,3.01289363340898,0.31765993865662495,0.0003026581568634412
